latitude,longitude,blk_no,road_name,postal_code,address
1.37469423247424,103.836462867365,172,ANG MO KIO AVENUE 4,560172,172 ANG MO KIO AVE 4
1.37334635014911,103.8364593481,116,ANG MO KIO AVENUE 4,560116,116 ANG MO KIO AVE 4
1.36619678831054,103.841505011903,216,ANG MO KIO AVENUE 1,560216,216 ANG MO KIO AVE 1
1.36544495225352,103.842715047475,208,ANG MO KIO AVENUE 1,560208,208 ANG MO KIO AVE 1
1.36558833593063,103.840518883254,220,ANG MO KIO AVENUE 1,560220,220 ANG MO KIO AVE 1
1.36598198004505,103.840654039612,219,ANG MO KIO AVENUE 1,560219,219 ANG MO KIO AVE 1
1.36511023350774,103.847379037914,319,ANG MO KIO AVENUE 1,560319,319 ANG MO KIO AVE 1
1.36559244608528,103.848386744168,320,ANG MO KIO AVENUE 1,560320,320 ANG MO KIO AVE 1
1.36739612776859,103.838150007464,225,ANG MO KIO AVENUE 1,560225,225 ANG MO KIO AVE 1
1.36243186402478,103.851030689651,330,ANG MO KIO AVENUE 1,560330,330 ANG MO KIO AVE 1
1.36211140145298,103.85076647513,331,ANG MO KIO AVENUE 1,560331,331 ANG MO KIO AVE 1
1.36167030761833,103.851955453764,332,ANG MO KIO AVENUE 1,560332,332 ANG MO KIO AVE 1
1.3613425564061,103.851698621454,333,ANG MO KIO AVENUE 1,560333,333 ANG MO KIO AVE 1
1.36126901451361,103.854642365822,403,ANG MO KIO AVENUE 10,560403,403 ANG MO KIO AVE 10
1.3649460137791,103.854043379775,418,ANG MO KIO AVENUE 10,560418,418 ANG MO KIO AVE 10
1.36538422642267,103.852966961527,421,ANG MO KIO AVENUE 10,560421,421 ANG MO KIO AVE 10
1.36642789831215,103.854311491141,440,ANG MO KIO AVENUE 10,560440,440 ANG MO KIO AVE 10
1.36565326940253,103.855232195496,442,ANG MO KIO AVENUE 10,560442,442 ANG MO KIO AVE 10
1.36604388871674,103.855368968681,443,ANG MO KIO AVENUE 10,560443,443 ANG MO KIO AVE 10
1.36770367834269,103.854214313011,435,ANG MO KIO AVENUE 10,560435,435 ANG MO KIO AVE 10
1.36807652285135,103.854353042615,433,ANG MO KIO AVENUE 10,560433,433 ANG MO KIO AVE 10
1.36346600647245,103.856702918462,471,ANG MO KIO AVENUE 10,560471,471 ANG MO KIO AVE 10
1.36569761910875,103.858941954115,457,ANG MO KIO AVENUE 10,560457,457 ANG MO KIO AVE 10
1.36716071992678,103.858658520644,456,ANG MO KIO AVENUE 10,560456,456 ANG MO KIO AVE 10
1.36694793518613,103.857487648675,463,ANG MO KIO AVENUE 10,560463,463 ANG MO KIO AVE 10
1.36695558620194,103.858031320467,462,ANG MO KIO AVENUE 10,560462,462 ANG MO KIO AVE 10
1.37123613284274,103.859192016193,558,ANG MO KIO AVENUE 10,560558,558 ANG MO KIO AVE 10
1.37140239598539,103.854845849383,576,ANG MO KIO AVENUE 10,560576,576 ANG MO KIO AVE 10
